brand,model,year,price,mileage,horsepower,engine_capacity,engine_type,gear,transmission,bodywork,doors_num,steering_wheel,tech_condition,owners_num,vin,color
Audi,Q5,2009,849000,142000,211,2.0,GASOLINE,ALL_WHEEL_DRIVE,AMT,ALLROAD,5,LEFT,NOT_BEATEN,3,WAU**************,GRAY

Audi,TT,2007,820000,67000,200,2.0,GASOLINE,FORWARD_CONTROL,AMT,COUPE,2,LEFT,NOT_BEATEN,3,TRU**************,SNOW

Audi,100,1991,140000,300000,174,2.8,GASOLINE,FORWARD_CONTROL,MT,SEDAN,4,LEFT,NOT_BEATEN,3,WAU**************,GRAY

Audi,A6,2020,4737300,0,249,45,DIESEL,ALL_WHEEL_DRIVE,AT,SEDAN,4,LEFT,NOT_BEATEN,0,WAU**************,BLACK

Audi,A4,2020,3361000,0,249,45,GASOLINE,ALL_WHEEL_DRIVE,AMT,SEDAN,4,LEFT,NOT_BEATEN,0,WAU**************,BLACK

Audi,A4,2014,1000000,95000,170,1.8,GASOLINE,FORWARD_CONTROL,CVT,SEDAN,4,LEFT,NOT_BEATEN,2,WAU**************,SNOW

Audi,A3,2008,455000,179600,102,1.6,GASOLINE,FORWARD_CONTROL,AT,HATCHBACK,3,LEFT,NOT_BEATEN,3,WAU**************,BLACK

Audi,A6,2017,1950000,90000,249,2.0,GASOLINE,ALL_WHEEL_DRIVE,AMT,SEDAN,4,LEFT,NOT_BEATEN,1,WAU**************,MEDIUMBLUE

Audi,Q3,2014,1240000,145000,170,2.0,GASOLINE,ALL_WHEEL_DRIVE,AMT,ALLROAD,5,LEFT,NOT_BEATEN,1,WAU**************,SNOW

Audi,A6,2017,1550000,123500,190,1.8,GASOLINE,FORWARD_CONTROL,AMT,SEDAN,4,LEFT,NOT_BEATEN,1,WAU**************,BLACK

Audi,A6,2011,949000,165000,300,3.0,GASOLINE,ALL_WHEEL_DRIVE,AMT,SEDAN,4,LEFT,NOT_BEATEN,3,WAU**************,SNOW

Audi,A3,2020,1885400,0,150,1.4,GASOLINE,FORWARD_CONTROL,AMT,SEDAN,4,LEFT,NOT_BEATEN,0,WAU**************,MEDIUMBLUE

Audi,A4,2020,2940000,0,190,40,GASOLINE,FORWARD_CONTROL,AMT,SEDAN,4,LEFT,NOT_BEATEN,0,WAU**************,MEDIUMBLUE

Audi,A3,2010,439000,263390,125,1.4,GASOLINE,FORWARD_CONTROL,AMT,HATCHBACK,5,LEFT,NOT_BEATEN,1,WAU**************,MEDIUMBLUE

Audi,A5,2020,4420600,0,249,45,GASOLINE,ALL_WHEEL_DRIVE,AMT,COUPE,2,LEFT,NOT_BEATEN,0,WAU**************,CRIMSON

Audi,A6,2000,159000,297000,165,2.4,GASOLINE,FORWARD_CONTROL,AT,WAGON,5,LEFT,NOT_BEATEN,3,WAU**************,BLACK

Audi,A4,2020,2600000,0,150,35,GASOLINE,FORWARD_CONTROL,AMT,SEDAN,4,LEFT,NOT_BEATEN,0,WAU**************,SNOW

Audi,A3,2020,1885400,0,150,1.4,GASOLINE,FORWARD_CONTROL,AMT,SEDAN,4,LEFT,NOT_BEATEN,0,WAU**************,LIGHTGRAY

Audi,A4,2020,2800000,0,190,40,GASOLINE,FORWARD_CONTROL,AMT,SEDAN,4,LEFT,NOT_BEATEN,0,WAU**************,BLACK

